Date,Open,High,Low,Close,Returns
2006-01-05 15:40,1.2082899999999999,1.21459,1.20679,1.20939,0.0009103774756060723
2006-01-06 15:40,1.20939,1.2181899999999999,1.2081899999999999,1.2141899999999999,0.003968943020861593
2006-01-09 15:40,1.2141899999999999,1.21649,1.20539,1.20659,-0.006259316910862234
2006-01-10 15:40,1.20659,1.21099,1.20379,1.20659,0.0
2006-01-11 15:40,1.20659,1.21189,1.20459,1.21059,0.003315127756736036
2006-01-12 15:40,1.21059,1.2163899999999999,1.20079,1.20329,-0.0060301175459900325
2006-01-13 15:40,1.20329,1.21079,1.20199,1.2100899999999999,0.005651173033931922
2006-01-16 15:40,1.2100899999999999,1.21749,1.20979,1.21179,0.0014048541843996176
2006-01-17 15:40,1.21179,1.21409,1.20509,1.20729,-0.0037135147178966044
2006-01-18 15:40,1.20729,1.2161899999999999,1.2061899999999999,1.20959,0.0019050932253228403
2006-01-19 15:40,1.20959,1.21259,1.20559,1.21069,0.0009093990525717022
2006-01-20 15:40,1.21069,1.21209,1.2041899999999999,1.20989,-0.0006607802162403864
2006-01-23 15:40,1.20989,1.22949,1.20949,1.22749,0.014546776979725395
2006-01-24 15:40,1.22749,1.2322899999999999,1.22579,1.22819,0.0005702694115634621
2006-01-25 15:40,1.22819,1.2324899999999999,1.22399,1.22619,-0.0016284125420333861
2006-01-26 15:40,1.22619,1.22799,1.2223899999999999,1.22349,-0.0022019426026961275
2006-01-27 15:40,1.22349,1.22399,1.21149,1.21319,-0.008418540404907304
2006-01-30 15:40,1.21319,1.21349,1.20659,1.20949,-0.003049810829301336
2006-01-31 15:40,1.20949,1.21499,1.20689,1.21499,0.004547371206045536
2006-02-01 15:40,1.21499,1.21899,1.20749,1.20879,-0.005102922657799658
2006-02-02 15:40,1.20879,1.21089,1.20339,1.2101899999999999,0.001158182976364719
2006-02-03 15:40,1.2101899999999999,1.21119,1.19679,1.20269,-0.00619737396607134
2006-02-06 15:40,1.20269,1.20469,1.19659,1.1981899999999999,-0.003741612551863005
2006-02-07 15:40,1.1981899999999999,1.20159,1.19439,1.19659,-0.0013353474824525646
2006-02-08 15:40,1.19659,1.19949,1.19279,1.19369,-0.0024235535981415035
2006-02-09 15:40,1.19369,1.19959,1.19249,1.1960899999999999,0.002010572259129262
2006-02-10 15:40,1.1960899999999999,1.20269,1.1901899999999999,1.1921899999999999,-0.0032606242005200903
2006-02-13 15:40,1.1921899999999999,1.19339,1.1879899999999999,1.1899899999999999,-0.001845343443578562
2006-02-14 15:40,1.1899899999999999,1.19249,1.1860899999999999,1.19079,0.0006722745569291977
2006-02-15 15:40,1.19079,1.19559,1.1880899999999999,1.18859,-0.0018475129955743963
2006-02-16 15:40,1.18859,1.18979,1.18479,1.18829,-0.0002523999024053314
2006-02-17 15:40,1.18829,1.19439,1.1859899999999999,1.19249,0.0035344907387926394
2006-02-20 15:40,1.19249,1.19759,1.18739,1.19439,0.0015933047656584431
2006-02-21 15:40,1.19439,1.19479,1.18919,1.19049,-0.003265265114409832
2006-02-22 15:40,1.19049,1.19319,1.1860899999999999,1.18949,-0.0008399902561131434
2006-02-23 15:40,1.18949,1.19669,1.18899,1.1920899999999999,0.0021858107256049752
2006-02-24 15:40,1.1920899999999999,1.19319,1.1861899999999999,1.18739,-0.003942655336425904
2006-02-27 15:40,1.18739,1.18829,1.18269,1.18679,-0.0005053099655546456
2006-02-28 15:40,1.18679,1.19349,1.18359,1.19189,0.004297306178852045
2006-03-01 15:40,1.19189,1.19769,1.19159,1.1919899999999999,8.390035993244283e-05
2006-03-02 15:40,1.1919899999999999,1.20179,1.18919,1.2001899999999999,0.006879252342721021
2006-03-03 15:40,1.2001899999999999,1.20539,1.19949,1.20269,0.0020830035244421286
